TaxonName,MainID,TimeOfSample,Population,Abundance
Myocastor coypus,9833,1974.11,3.2,3200
Myocastor coypus,9833,1974.12,3.05,3050
Myocastor coypus,9833,1975.01,3.2,3200
Myocastor coypus,9833,1975.02,3.05,3050
Myocastor coypus,9833,1975.03,2.9,2900
Myocastor coypus,9833,1975.04,3.45,3450
Myocastor coypus,9833,1975.05,3.5,3500
Myocastor coypus,9833,1975.06,4,4000
Myocastor coypus,9833,1975.07,4.3,4300
Myocastor coypus,9833,1975.08,4.3,4300
Myocastor coypus,9833,1975.09,5,5000
Myocastor coypus,9833,1975.1,5.55,5550
Myocastor coypus,9833,1975.11,4.85,4850
Myocastor coypus,9833,1975.12,4.5,4500
Myocastor coypus,9833,1976.01,4.3,4300
Myocastor coypus,9833,1976.02,4.2,4200
Myocastor coypus,9833,1976.03,4,4000
Myocastor coypus,9833,1976.04,4.15,4150
Myocastor coypus,9833,1976.05,4.2,4200
Myocastor coypus,9833,1976.06,3.85,3850
Myocastor coypus,9833,1976.07,3.55,3550
Myocastor coypus,9833,1976.08,3.6,3600
Myocastor coypus,9833,1976.09,3.7,3700
Myocastor coypus,9833,1976.1,3.65,3650
Myocastor coypus,9833,1976.11,3,3000
Myocastor coypus,9833,1976.12,2.9,2900
Myocastor coypus,9833,1977.01,3,3000
Myocastor coypus,9833,1977.02,2.95,2950
Myocastor coypus,9833,1977.03,3.05,3050
Myocastor coypus,9833,1977.04,3.35,3350
Myocastor coypus,9833,1977.05,3.5,3500
Myocastor coypus,9833,1977.06,3.6,3600
Myocastor coypus,9833,1977.07,4,4000
Myocastor coypus,9833,1977.08,3.9,3900
Myocastor coypus,9833,1977.09,4.1,4100
Myocastor coypus,9833,1977.1,4.1,4100
Myocastor coypus,9833,1977.11,3.35,3350
Myocastor coypus,9833,1977.12,3.15,3150
Myocastor coypus,9833,1978.01,3.35,3350
Myocastor coypus,9833,1978.02,3.25,3250
Myocastor coypus,9833,1978.03,3.25,3250
Myocastor coypus,9833,1978.04,3.3,3300
Myocastor coypus,9833,1978.05,3.15,3150
Myocastor coypus,9833,1978.06,3.1,3100
Myocastor coypus,9833,1978.07,3.6,3600
Myocastor coypus,9833,1978.08,3.7,3700
Myocastor coypus,9833,1978.09,4.05,4050
Myocastor coypus,9833,1978.1,4,4000
Myocastor coypus,9833,1978.11,3.8,3800
Myocastor coypus,9833,1978.12,2.3,2300
Myocastor coypus,9833,1979.01,2.15,2150
Myocastor coypus,9833,1979.02,2.1,2100
Myocastor coypus,9833,1979.03,2.1,2100
Myocastor coypus,9833,1979.04,2.1,2100
Myocastor coypus,9833,1979.05,2,2000
Myocastor coypus,9833,1979.06,2.1,2100
Myocastor coypus,9833,1979.07,2.2,2200
Myocastor coypus,9833,1979.08,2.3,2300
Myocastor coypus,9833,1979.09,2.95,2950
Myocastor coypus,9833,1979.1,3.2,3200
Myocastor coypus,9833,1979.11,2.6,2600
Myocastor coypus,9833,1979.12,2.65,2650
